Key,Press Time (10us),Release Time (10us),Interval (10us)
'a',173399793833002,173399793841902,
'z',173399793845002,173399793850003,3599
'e',173399793845502,173399793854184,399
'f',173399793850403,173399793863546,399
'j',173399793864145,173399793869716,4549
'a',173399793871888,173399793877788,6072
'z',173399793867491,173399793882889,6072
'i',173399793870315,173399793883888,499
'o',173399793868096,173399793884688,499
'e',173399793875788,173399793887288,499
'f',173399793883388,173399793903743,10757
'a',173399793897446,173399793924543,20500
'z',173399793898045,173399793924743,20500
'j',173399793919843,173399793926056,1113
'e',173399793924243,173399793926556,401
'f',173399793925857,173399793926756,401
'i',173399793926256,173399793926856,401
'o',173399793926457,173399793933137,401
'p',173399793939630,173399793945845,6492
'q',173399793947845,173399793962157,8759
'o',173399793954605,173399793964142,1285
'i',173399793953905,173399793964943,1285
'd',173399793962755,173399793974411,4196
'h',173399793963442,173399793982504,4196
'f',173399793969139,173399793984514,4196
'a',173399793997613,173399794003713,13099
'o',173399793984914,173399794004913,1000
'z',173399794004013,173399794009214,2199
'e',173399794004313,173399794013514,2199
'i',173399794004613,173399794014315,399
'u',173399794004713,173399794015511,399
'f',173399794007113,173399794022648,399
'h',173399794013914,173399794023148,399
'a',173399794024726,173399794028902,1577
'z',173399794029703,173399794033865,2862
'e',173399794031765,173399794041164,2862
'm',173399794050365,173399794066963,9201
'm',173399794074663,173399794084664,15200
'q',173399794082163,173399794085164,199
'd',173399794084864,173399794094564,6400
'f',173399794091564,173399794107030,6400
'a',173399794126258,173399794129380,19227
'j',173399794116144,173399794129781,19227
'h',173399794123306,173399794148450,15170
'z',173399794141955,173399794162750,15170
'e',173399794142551,173399794163750,15170
'p',173399794144951,173399794163850,15170
'i',173399794164050,173399794170448,400
'u',173399794164250,173399794172566,400
Key.caps_lock,173399794187915,173399794200431,15348
'&',173399794239384,173399794247686,38952
'é',173399794285323,173399794305024,37637
'&',173399794317324,173399794332806,12299
Key.caps_lock,173399794356499,173399794368852,23692
'_',173399794348431,173399794369553,23692
'y',173399794389656,173399794397956,20102
'z',173399794407773,173399794412940,9817
'e',173399794416095,173399794422261,3155
'h',173399794450167,173399794460160,27906
'z',173399794465260,173399794476460,14999
'e',173399794469660,173399794478661,14999
'f',173399794475160,173399794483799,14999
Key.enter,173399794534996,173399794547195,51196
